CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
0800902001B,1.0,1,3.0,4,125.0,125,136.0,136,137.0,137,58.0,58,27.0,27,32.0,32,23.0,23,3.0,6,3.0,3,0.0,0,0.0,0
0800902001C,2.0,2,1.0,0,98.0,98,182.0,182,138.0,138,42.0,42,23.0,23,37.0,37,21.0,21,3.0,3,0.0,0,0.0,0,0.0,0
0801002002U,0.0,4,0.0,3,0.0,88,0.0,205,0.0,148,0.0,32,0.0,15,0.0,47,0.0,15,0.0,6,0.0,1,0.0,0,0.0,0
0801301001A,0.0,0,0.0,2,84.0,84,191.0,191,118.0,118,41.0,41,30.0,30,33.0,33,8.0,8,2.0,2,0.0,0,0.0,0,0.0,0
0801401001B,0.0,3,0.0,2,0.0,50,0.0,184,0.0,145,0.0,34,0.0,25,0.0,27,0.0,16,0.0,6,0.0,1,0.0,0,0.0,0
0801501001A,0.0,1,0.0,2,0.0,61,0.0,150,0.0,142,0.0,42,0.0,30,0.0,28,0.0,17,0.0,0,0.0,0,0.0,0,0.0,0
0801501001B,0.0,0,0.0,0,0.0,73,0.0,209,0.0,144,0.0,37,0.0,26,0.0,39,0.0,17,0.0,4,0.0,1,0.0,0,0.0,0
0801501002B,0.0,0,1.0,1,42.0,42,160.0,160,146.0,146,28.0,42,23.0,23,24.0,24,31.0,31,3.0,3,0.0,0,0.0,0,0.0,0
0801501005A,0.0,0,0.0,4,0.0,47,0.0,168,0.0,132,0.0,48,0.0,21,0.0,25,0.0,14,0.0,1,0.0,2,0.0,0,0.0,0
0801501005B,0.0,3,0.0,2,0.0,64,0.0,176,0.0,148,0.0,47,0.0,23,0.0,42,0.0,25,0.0,1,0.0,0,0.0,0,0.0,0
0801501008U,0.0,1,0.0,3,0.0,52,0.0,136,0.0,157,0.0,23,0.0,29,0.0,28,0.0,10,0.0,2,0.0,1,0.0,0,0.0,0
0801502001U,0.0,5,0.0,6,0.0,154,0.0,159,0.0,227,0.0,107,0.0,77,0.0,31,0.0,50,0.0,2,0.0,3,0.0,0,0.0,0
0801502002A,0.0,0,0.0,2,0.0,89,0.0,143,0.0,173,0.0,57,0.0,51,0.0,25,0.0,15,0.0,4,0.0,1,0.0,0,0.0,0
0801502002B,0.0,2,0.0,4,0.0,93,0.0,145,0.0,177,0.0,77,0.0,36,0.0,37,0.0,28,0.0,8,0.0,0,0.0,0,0.0,0
0801502003U,0.0,1,0.0,3,0.0,86,0.0,192,0.0,179,0.0,45,0.0,45,0.0,45,0.0,27,0.0,5,0.0,2,0.0,0,0.0,0
0801502004A,0.0,4,0.0,5,0.0,106,0.0,239,0.0,194,0.0,56,0.0,33,0.0,23,0.0,37,0.0,4,0.0,0,0.0,0,0.0,0
0801502004B,0.0,1,0.0,6,0.0,112,0.0,229,0.0,194,0.0,56,0.0,38,0.0,27,0.0,37,0.0,7,0.0,0,0.0,0,0.0,0
0801502008A,0.0,3,0.0,2,0.0,113,0.0,203,0.0,220,0.0,76,0.0,48,0.0,40,0.0,29,0.0,4,0.0,2,0.0,0,0.0,0
0801502008B,0.0,1,0.0,1,0.0,95,0.0,181,0.0,235,0.0,83,0.0,48,0.0,37,0.0,30,0.0,4,0.0,1,0.0,0,0.0,0
0801502009U,1.0,1,3.0,3,175.0,175,36.0,36,67.0,67,87.0,87,47.0,47,14.0,14,74.0,74,0.0,9,0.0,3,0.0,0,0.0,0
0801502010B,5.0,5,2.0,2,143.0,143,32.0,20,56.0,56,86.0,86,43.0,43,8.0,8,41.0,41,0.0,12,0.0,3,0.0,0,0.0,0
0801502012U,0.0,3,0.0,3,0.0,230,0.0,39,0.0,135,0.0,111,0.0,61,0.0,21,0.0,46,0.0,8,0.0,2,0.0,0,0.0,0
0801502015U,0.0,1,0.0,2,0.0,191,0.0,42,0.0,91,0.0,99,0.0,48,0.0,12,0.0,82,0.0,11,0.0,0,0.0,0,0.0,0
0801503003A,0.0,1,0.0,0,0.0,142,0.0,75,0.0,137,0.0,79,0.0,44,0.0,21,0.0,31,0.0,5,0.0,4,0.0,0,0.0,0
0801503003B,0.0,2,0.0,1,0.0,154,0.0,75,0.0,127,0.0,94,0.0,71,0.0,14,0.0,39,0.0,8,0.0,2,0.0,0,0.0,0
0801503004A,0.0,2,0.0,2,0.0,94,0.0,96,0.0,164,0.0,73,0.0,47,0.0,28,0.0,27,0.0,4,0.0,1,0.0,0,0.0,0
0801503005U,0.0,0,0.0,3,0.0,180,0.0,110,0.0,254,0.0,125,0.0,61,0.0,22,0.0,34,0.0,10,0.0,3,0.0,0,0.0,0
0801503006U,0.0,4,0.0,4,0.0,122,0.0,198,0.0,246,0.0,106,0.0,62,0.0,49,0.0,18,0.0,5,0.0,1,0.0,0,0.0,0
0801503008U,0.0,1,0.0,4,0.0,68,0.0,121,0.0,124,0.0,40,0.0,35,0.0,29,0.0,20,0.0,8,0.0,2,0.0,0,0.0,0
0801503009A,0.0,2,0.0,2,0.0,77,0.0,193,0.0,177,0.0,50,0.0,29,0.0,45,0.0,18,0.0,3,0.0,0,0.0,0,0.0,0
0801503009B,0.0,3,0.0,4,0.0,101,0.0,196,0.0,188,0.0,51,0.0,37,0.0,31,0.0,24,0.0,1,0.0,1,0.0,0,0.0,0
0801503011U,0.0,8,0.0,1,0.0,195,0.0,118,0.0,181,0.0,106,0.0,84,0.0,21,0.0,51,0.0,10,0.0,2,0.0,0,0.0,0
0801503013A,0.0,1,0.0,0,0.0,143,0.0,100,0.0,131,0.0,77,0.0,53,0.0,16,0.0,15,0.0,2,0.0,0,0.0,0,0.0,0
0801504004A,0.0,1,0.0,4,0.0,222,0.0,67,0.0,170,0.0,112,0.0,70,0.0,26,0.0,58,0.0,10,0.0,2,0.0,0,0.0,0
0801504004B,0.0,0,0.0,5,0.0,203,0.0,96,0.0,154,0.0,124,0.0,72,0.0,34,0.0,56,0.0,8,0.0,3,0.0,0,0.0,0
0801504005A,0.0,0,0.0,3,0.0,114,0.0,75,0.0,94,0.0,73,0.0,41,0.0,11,0.0,26,0.0,7,0.0,2,0.0,0,0.0,0
0801504005B,0.0,1,0.0,2,0.0,143,0.0,80,0.0,141,0.0,71,0.0,51,0.0,23,0.0,30,0.0,12,0.0,1,0.0,0,0.0,0
0801504006A,0.0,0,0.0,6,0.0,226,0.0,53,0.0,112,0.0,120,0.0,67,0.0,16,0.0,60,0.0,15,0.0,1,0.0,0,0.0,0
0801504006B,0.0,6,0.0,4,0.0,305,0.0,68,0.0,139,0.0,129,0.0,92,0.0,18,0.0,60,0.0,11,0.0,4,0.0,0,0.0,0
0801504008B,7.0,7,4.0,4,137.0,157,62.0,62,115.0,115,72.0,72,36.0,36,20.0,20,18.0,18,17.0,17,0.0,0,0.0,0,0.0,0
0801504010U,0.0,3,0.0,3,0.0,218,0.0,61,0.0,171,0.0,116,0.0,57,0.0,18,0.0,51,0.0,10,0.0,1,0.0,0,0.0,0
0801504011A,0.0,1,0.0,1,104.0,104,52.0,52,112.0,112,62.0,62,53.0,53,15.0,15,33.0,33,5.0,5,4.0,4,0.0,0,0.0,0
0801504013U,0.0,6,0.0,2,0.0,190,0.0,105,0.0,180,0.0,127,0.0,100,0.0,24,0.0,39,0.0,8,0.0,3,0.0,0,0.0,0
0801505001A,0.0,1,0.0,3,0.0,91,0.0,233,0.0,234,0.0,56,0.0,48,0.0,48,0.0,17,0.0,5,0.0,0,0.0,0,0.0,0
