CodiMesa,VNULS,Vots nuls,VBLANCS,Vots en blanc,VCS,Vots,VJXC,Vots.1,VERC,Vots.2,VPSC,Vots.3,VCOM,Vots.4,VCUP,Vots.5,VPPC,Vots.6,VPACMA,Vots.7,VRECORTES,Vots.8,VPUMJUST,Vots.9,VDIALEG,Vots.10
2517201002A,4.0,4,4.0,0,53.0,53,186.0,186,173.0,173,21.0,21,8.0,8,21.0,21,25.0,25,0.0,0,0.0,0,0.0,0,0.0,0
2518901001A,0.0,1,0.0,4,82.0,82,194.0,194,135.0,135,34.0,34,28.0,28,26.0,26,17.0,17,2.0,2,0.0,0,0.0,0,0.0,0
2518901001B,3.0,3,5.0,5,126.0,126,190.0,190,194.0,194,57.0,57,40.0,40,30.0,30,20.0,20,6.0,6,1.0,1,1.0,0,0.0,0
2520301003B,0.0,0,1.0,1,108.0,108,137.0,137,138.0,138,53.0,53,21.0,21,28.0,28,22.0,28,1.0,1,1.0,1,1.0,1,0.0,0
4300601001U,0.0,3,0.0,6,0.0,49,0.0,169,0.0,153,0.0,54,0.0,16,0.0,33,0.0,41,0.0,2,0.0,0,0.0,0,0.0,0
4302201001A,2.0,2,5.0,4,58.0,86,81.0,75,102.0,88,37.0,30,15.0,17,9.0,10,22.0,39,0.0,0,1.0,0,0.0,0,0.0,0
4302201001B,2.0,2,4.0,5,86.0,58,75.0,81,88.0,102,30.0,37,17.0,15,10.0,9,39.0,22,0.0,0,0.0,1,0.0,0,0.0,0
4302401001B,6.0,6,2.0,2,156.0,156,115.0,115,118.0,118,67.0,67,25.0,25,16.0,16,24.0,24,3.0,4,0.0,1,2.0,0,0.0,0
4305101003C,3.0,3,1.0,1,134.0,134,60.0,60,83.0,83,78.0,78,34.0,34,17.0,17,19.0,19,4.0,6,2.0,0,0.0,0,0.0,0
4308301001U,0.0,0,0.0,0,29.0,29,48.0,48,26.0,26,4.0,4,9.0,9,1.0,1,19.0,13,0.0,0,0.0,0,0.0,0,0.0,0
4309501002A,1.0,1,2.0,2,137.0,137,111.0,111,125.0,125,46.0,46,22.0,22,18.0,18,14.0,14,7.0,7,1.0,0,0.0,0,0.0,0
4310801001C,5.0,5,1.0,1,98.0,98,181.0,186,125.0,125,29.0,29,25.0,25,30.0,30,22.0,23,7.0,6,0.0,0,0.0,0,0.0,0
4312303007B,1.0,1,3.0,3,222.0,222,74.0,74,67.0,77,50.0,50,22.0,22,8.0,12,20.0,20,6.0,6,0.0,0,0.0,0,0.0,0
4314808003A,0.0,2,4.0,5,153.0,203,134.0,21,145.0,50,64.0,80,46.0,42,34.0,15,24.0,30,5.0,13,3.0,3,0.0,0,0.0,0
4314808005B,0.0,4,0.0,1,168.0,168,10.0,10,32.0,32,75.0,75,28.0,28,7.0,7,15.0,15,2.0,2,1.0,1,0.0,0,0.0,0
